"name","state","year_group"
"ALBION VIEW","TN","1900"
"ALBRIGHT","TN","1900"
"ALBRIGHT","AR",""
"ALBRIGHT","GA",""
NA,NA,""
"ALBRITON","SC","1900"
"ALBURG","NY","1900"
NA,NA,""
"ALBURG SPRINGS","VT","1850"
"ALBURGH","VT","1850"
"ALBURGH CENTER","VT","1900"
NA,NA,""
"ALCANDRA","AR",""
"ALCANDRA","AR",""
"ALCO","LA","1950"
"ALCO","AL",""
"ALCO","AR","1900"
NA,NA,""
NA,NA,""
NA,NA,""
"ALCORA","MO","1900"
"ALCORN","MS",""
"ALCORN","MS","1950"
"ALCOT","SC","1900"
"ALCOVA","GA",""
NA,NA,""
"ALCOVEY","GA","1900"
"ALDAN","PA","1900"
"ALDEN","AL","1950"
NA,NA,""
"ALDEN CENTRE","NY","1900"
"ALDEN STATION","PA","1900"
"ALDEN BRIDGE","LA","1900"
"ALDENVILLE","PA","1850"
"ALDER","AR",""
"ALDER","ME","1900"
"ALDER BEND","NY","1900"
"ALDER BROOK","NH","1900"
"ALDER BROOK","NY","1900"
NA,NA,""
"ALDER GROVE","MS","1900"
"ALDERBROOK","AR","1850"
"ALDERMAN","GA",""
"ALDERSON","PA","1900"
"ALDERVILLE","TN",""
"ALDHAM","PA","1900"
"ALDINE","GA","1900"
"ALDINE","NJ","1900"
"ALDISSON","AR",""
"ALDON","TN","1900"
NA,NA,""
"ALDRICH","AL","1900"
"ALDRICH","NY",""
"ALECTO","MO",""
"ALECTO","SC",""
"ALEMEDA","TN","1900"
"ALENA","TN",""
"ALENE","NY","1900"
NA,NA,""
"ALERT","PA","1900"
"ALES","MS",""
"ALESSANDRO","AL",""
"ALESVILLE","MS","1900"
"ALETHEA","SC",""
"ALEWIVE","ME","1900"
"ALEX","TN",""
NA,NA,""
"ALEXANDER","GA","1850"
"ALEXANDER","MS",""
NA,NA,""
"ALEXANDER","SC","1900"
"ALEXANDER","ME","1850"
"ALEXANDER","ME","1900"
"ALEXANDER CENTRE","ME",""
NA,NA,""
